system_or_family,year,primary_source,pedagogical_scaffolding,adaptive_or_longitudinal_assessment,academic_writing_assistance,similarity_or_integrity_analysis,authorship_process_provenance,cryptographic_authorship_or_receipts,hardware_or_kernel_attestation,full_cyber_telemetry_deception_world_state,deterministic_capability_composition,attested_quorum_and_physical_execution,authority_non_substitution_constitution,full_converged_match,key_gap,review_status
Turnitin Clarity,2026,https://www.turnitin.com/products/clarity,PRESENT,PARTIAL,PRESENT,PRESENT,PRESENT,PARTIAL,ABSENT,ABSENT,ABSENT,ABSENT,PARTIAL,NO,"Writing-process visibility and AI-supported writing/integrity are close Sophia-domain precedent; no public hardware/kernel trust, cyber immune system, deterministic crystals, attested quorum or physical execution chain",SOURCE_BACKED_SCOPED_REVIEW
Turnitin Feedback Studio,2026,https://www.turnitin.com/products/feedback-studio,PARTIAL,PRESENT,PARTIAL,PRESENT,PARTIAL,PARTIAL,ABSENT,ABSENT,ABSENT,ABSENT,PARTIAL,NO,"Strong assessment, feedback and integrity platform; no merged constitutional runtime spanning attestation, cyber world state and deterministic execution",SOURCE_BACKED_SCOPED_REVIEW
TrueMark,2026,https://www.truemark.ai/,PRESENT,PRESENT,PRESENT,PRESENT,PARTIAL,PARTIAL,ABSENT,ABSENT,ABSENT,ABSENT,PRESENT,NO,"Teacher-controlled tutoring, grading and academic-integrity functions are close educational-governance art; no hardware-rooted trust, cyber telemetry or proof-carrying execution organism",SOURCE_BACKED_SCOPED_REVIEW
Process Feedback,2026,https://www.processfeedback.org/,PARTIAL,PARTIAL,PRESENT,PRESENT,PRESENT,PARTIAL,ABSENT,ABSENT,ABSENT,ABSENT,PARTIAL,NO,"Authorship and writing-process evidence with local/privacy focus; no adaptive constitutional pedagogy joined to attestation and cyber/runtime governance",SOURCE_BACKED_SCOPED_REVIEW
Artefakt / Etos,2026,https://artefakt.ai/,PARTIAL,PARTIAL,PRESENT,PRESENT,PRESENT,PARTIAL,ABSENT,ABSENT,ABSENT,ABSENT,PARTIAL,NO,"Revision history, text matching and authorship evidence are direct integrity precedents; no deterministic semantic/physical architecture",SOURCE_BACKED_SCOPED_REVIEW
Tutela,2026,https://www.tutela.ai/,PRESENT,PARTIAL,PRESENT,PARTIAL,PARTIAL,PARTIAL,ABSENT,ABSENT,ABSENT,ABSENT,PRESENT,NO,"Faculty-governed source-bounded tutoring and assessment-safe refusal are close Sophia precedents; no cryptographic kernel or cyber convergence",SOURCE_BACKED_SCOPED_REVIEW
Proof of Process Internet-Draft,2026,https://datatracker.ietf.org/doc/draft-proof-of-process/,ABSENT,ABSENT,PARTIAL,PARTIAL,PRESENT,PRESENT,ABSENT,ABSENT,ABSENT,ABSENT,PARTIAL,NO,"Dangerous authorship/provenance precedent using cryptographic process evidence and timing/behavioral features; does not supply pedagogy, attestation, cyber defense, deterministic capability composition or execution governance",SOURCE_BACKED_DRAFT_NOT_STANDARD
Proof of Process Transcript Format,2026,https://datatracker.ietf.org/doc/draft-proof-of-process-transcript/,ABSENT,ABSENT,PARTIAL,PARTIAL,PRESENT,PRESENT,ABSENT,ABSENT,ABSENT,ABSENT,PARTIAL,NO,"Hash-linked signed human/AI/editor contribution provenance is close to academic authorship evidence; not a constitutional intelligence organism",SOURCE_BACKED_DRAFT_NOT_STANDARD
Integrity Shield document watermarking,2026,https://integrityshield.com/,ABSENT,ABSENT,ABSENT,PRESENT,PARTIAL,PRESENT,ABSENT,ABSENT,ABSENT,ABSENT,PARTIAL,NO,"Cryptographic or watermark-oriented integrity control is a component precedent only",SCOPED_REVIEW_PRODUCT_CLAIMS_NEED_TECHNICAL_VALIDATION
Sophia-AI / Integritas Mechanicus target,2026,INTERNAL_REPOSITORY_EVIDENCE,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PARTIAL,PARTIAL,ABSENT,PRESENT,NO,"Educational and attestation merger is substantial; full Seraph/BEAST execution and quorum convergence still requires exact runtime proof",INTERNAL_EVIDENCE_PENDING_CONVERGENCE_LEDGER
