work,primary_source,independently_learned_concepts,transfer_testing_before_reusable_authority,adversarial_challenge,typed_semantic_verification,organ_bound_evidence,current_world_state_binding,attested_role_diverse_quorum,physically_attested_execution,execution_evidence_barred_from_modifying_production_authority,public_reproducibility,full_exact_claim_match,review_note
KeyNote Trust Management System v2,https://www.rfc-editor.org/rfc/rfc2704,ABSENT,ABSENT,PARTIAL,PARTIAL,ABSENT,ABSENT,ABSENT,ABSENT,ABSENT,PRESENT,NO,"Signed policy credentials and compliance checking only"
Binder,https://www.microsoft.com/en-us/research/publication/binder-a-logic-based-security-language/,ABSENT,ABSENT,PARTIAL,PARTIAL,ABSENT,ABSENT,ABSENT,ABSENT,ABSENT,PARTIAL,NO,"Distributed logic programs and delegation; no learned concept promotion or attested execution"
Delegation Logic,https://crypto.stanford.edu/~ninghui/abstracts/thesis.html,ABSENT,ABSENT,PARTIAL,PARTIAL,ABSENT,ABSENT,PARTIAL,ABSENT,ABSENT,PARTIAL,NO,"Includes k-of-n threshold principals but not role-diverse hardware-attested semantic quorum"
SecPAL,https://www.microsoft.com/en-us/research/publication/secpal-design-semantics-decentralized-authorization-language/,ABSENT,ABSENT,PARTIAL,PRESENT,ABSENT,ABSENT,ABSENT,ABSENT,ABSENT,PRESENT,NO,"Deterministic terminating authorization semantics; no concept transfer/promotion chain"
DKAL and DKAL*,https://www.microsoft.com/en-us/research/publication/212-dkal-constructing-executable-specifications-of-authorization-protocols/,ABSENT,ABSENT,PARTIAL,PRESENT,ABSENT,PARTIAL,ABSENT,ABSENT,ABSENT,PRESENT,NO,"Executable distributed authorization protocols and verified interpreter; lacks claimed promotion, evidence-organ, and attested quorum chain"
SAFE,https://arxiv.org/abs/1510.04629,ABSENT,ABSENT,PARTIAL,PRESENT,PARTIAL,PARTIAL,ABSENT,PARTIAL,ABSENT,PRESENT,NO,"Authenticated linked logic sets and attestation-based access control are close substrate art; no exact DIO promotion and quorum sequence"
in-toto,https://www.usenix.org/conference/usenixsecurity19/presentation/torres-arias,ABSENT,ABSENT,PRESENT,PARTIAL,PARTIAL,PARTIAL,ABSENT,ABSENT,PARTIAL,PRESENT,NO,"Multi-actor signed lineage and policy verification; not an intelligence operating architecture"
SCITT Architecture,https://datatracker.ietf.org/doc/draft-ietf-scitt-architecture,ABSENT,ABSENT,PARTIAL,PARTIAL,PARTIAL,PARTIAL,PARTIAL,PARTIAL,PARTIAL,PRESENT,NO,"Signed statements and receipts with possible trusted hardware/consensus; no learned deterministic concept authority"
Confidential Consortium Framework,https://arxiv.org/abs/2310.11559,ABSENT,ABSENT,PRESENT,PARTIAL,PARTIAL,PRESENT,PARTIAL,PRESENT,PARTIAL,PRESENT,NO,"Closest physical attestation/governance precursor; application framework does not supply the learned-concept semantic promotion chain"
Semantic Quorum Assurance,https://arxiv.org/abs/2606.08021,ABSENT,ABSENT,PRESENT,PARTIAL,PARTIAL,PRESENT,PRESENT,ABSENT,PARTIAL,PARTIAL,NO,"Closest role-diverse semantic quorum and sovereign gate precursor; explicitly non-deterministic and not physically attested"
AEX,https://arxiv.org/abs/2603.14283,ABSENT,ABSENT,PARTIAL,PARTIAL,PARTIAL,PARTIAL,ABSENT,PARTIAL,ABSENT,PARTIAL,NO,"Strong request-output and transformation provenance; no capability authority promotion or quorum"
TrustMee,https://arxiv.org/abs/2602.13148,ABSENT,ABSENT,ABSENT,PARTIAL,PARTIAL,ABSENT,ABSENT,PRESENT,ABSENT,PRESENT,NO,"Strong self-verifying physical attestation component only"
DAI-Diode target,INTERNAL_PUBLICATION_CAPSULE,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,"Every PENDING cell must be proven by final lineage, ablation, mutation, independent reproduction, and independent quorum evidence"
