mechanism,precise_dai_diode_role,existing_component_precedent,novelty_question,internal_evidence,status
sealed_memfd_crystal,"Anonymous sealed memory object carrying typed capability, provenance, policy, applicability, expiry, authority ceiling, signatures, and content digest","Linux memfd and sealing are established mechanisms","Has a prior intelligence architecture used sealed anonymous memory objects as proof-carrying semantic capabilities whose possession never implies authority?","app/kernel/compute/sealed_capsule.py; app/kernel/crystals/sealed_capsule.py; docs/beast-sensorium-crystals/IMPLEMENTATION.md",INTERNAL_EVIDENCE_PRESENT_EXTERNAL_COMPARISON_PENDING
crystal_bus_descriptor_custody,"AF_UNIX SOCK_SEQPACKET transport with SCM_RIGHTS descriptor custody, ordered frames, receiver-side revalidation, guardian admission, durable generations, recovery, and revocation","Unix descriptor passing and capability-oriented IPC are established","Has this transport pattern been used as the native semantic-capability bus of a deterministic intelligence architecture with explicit custody and authority non-transfer?","app/kernel/crystal_bus/fd_transport.py; app/kernel/compute/crystal_bus.py; app/kernel/execution/socket_guardian.py; docs/beast-sensorium-crystals/IMPLEMENTATION.md",INTERNAL_EVIDENCE_PRESENT_EXTERNAL_COMPARISON_PENDING
sensorium_epistemic_plane,"Kernel and runtime observations become typed, ordered, hash-stable evidence; loss, gaps, privacy redaction, process identity, socket identity, topology, pressure, and lifecycle constrain what the system may currently believe","eBPF, XDP, observability, runtime security, and event sourcing are established","Has a prior deterministic intelligence system treated kernel observation and explicit sensor loss as a first-class epistemic authority boundary for semantic applicability?","app/kernel/sensorium/bpf_event_contracts.py; app/kernel/sensorium/bpf_ring_adapter.py; app/kernel/sensorium/bpf_loss_receipts.py; docs/beast-sensorium-crystals/IMPLEMENTATION.md",INTERNAL_EVIDENCE_PRESENT_EXTERNAL_COMPARISON_PENDING
xdp_af_xdp_scope_binding,"Packet-path observation and controlled redirection bind network scope and current physical conditions into applicability and execution evidence","XDP and AF_XDP are established packet-processing mechanisms","Has XDP/AF_XDP evidence been bound into proof-carrying semantic capability applicability and physical-truth certificates rather than used only for networking or security enforcement?","bpf/beast_x3_redirect.bpf.c; bpf/beast_x3_af_xdp_worker.c; evidence/c4x-physical-truth-certificate/physical-truth-xdp-scope-live-001/physical_truth_certificate.json",INTERNAL_EVIDENCE_PRESENT_EXTERNAL_COMPARISON_PENDING
ml_kem_commons_session_binding,"ML-KEM-768 establishes pairwise post-quantum secrets and transcript confirmation between Commons nodes while shared-secret bytes are never serialized; transcript digests bind the cryptographic lane","ML-KEM is a standardized KEM and post-quantum session establishment is established","Has ML-KEM been integrated into a heterogeneous attested semantic quorum so each node's cryptographic session, evidence root, proposal, and authority ceiling are jointly bound?","evidence/commons-ml-kem/latest.md; evidence/forge-kv-ml-kem-transport/latest.md",INTERNAL_EVIDENCE_PRESENT_EXTERNAL_COMPARISON_PENDING
cadence_governance,"Cadence is a governed temporal contract for observation, challenge, corroboration, expiry, renewal, recurrence, and dispatch; missed or drifted cadence weakens applicability rather than merely delaying a job","Schedulers, heartbeats, leases, temporal logic, and failure detectors are established","Has temporal cadence been promoted from scheduling metadata into signed epistemic and authority state for deterministic semantic capabilities?","docs/beast-devsecops-arda-commons-master-plan.md; Seraph/Metatron harmonic and cadence architecture",INTERNAL_DEFINITION_PRESENT_EVIDENCE_MAPPING_PENDING
harmonic_engine,"Computes intervals, jitter, drift, burstiness, entropy, sequence tempo, scope baselines, resonance, discord, and confidence to identify coherent or anomalous behavior across organs and observations","Time-series anomaly detection, signal processing, rhythm analysis, and distributed failure detection are established","Has a harmonic timing engine been used to govern semantic trust, corroboration, capability applicability, and dispatch across a multi-organ deterministic intelligence architecture?","Seraph/Metatron harmonic engine; ARDA status and integration evidence",INTERNAL_DEFINITION_PRESENT_EVIDENCE_MAPPING_PENDING
deception_immune_system,"Seraph generates controlled deception, route forgery, malformed evidence, contradictory world-state, stale identities, capability bait, and adversarial variants; acceptance requires correct detection and rejection reason","Cyber deception, honeypots, adversarial testing, mutation testing, and red teaming are established","Has deception been made a standing organ in the capability-promotion pipeline, where surviving governed deception is required before reusable deterministic authority?","app/kernel/compute/memory_policy.py; app/kernel/compute/interference_buckets.py; semantic attack and gauntlet reports",INTERNAL_EVIDENCE_PARTIAL_EXTERNAL_COMPARISON_PENDING
signed_world_state,"World state binds topology, policy generation, clock source, leases, boot identity, runtime identity, resource state, network state, and negative conditions into the exact applicability decision","State machines, digital twins, policy context, world models, and signed state roots are established","Has an intelligence system required a signed current-world-state root, including negative conditions and freshness, before a stored semantic capability may speak or execute?","docs/beast-sensorium-crystals/IMPLEMENTATION.md; physical-truth certificates; DAI Phase 3.1 world-state and lease objects",INTERNAL_EVIDENCE_PRESENT_EXTERNAL_COMPARISON_PENDING
sophia_seraph_beast_arda_pipeline,"Sophia supports and proposes; Seraph/Metatron challenges, deceives, measures cadence and consequences; BEAST types, compiles, composes, promotes, transports, and governs; Sensorium binds current reality; Commons independently assents; Arda appraises and attests execution","Multi-agent workflows, policy engines, digital-twin stacks, red-team pipelines, and confidential execution frameworks exist separately","Has one public system implemented this organ-separated epistemic-to-authority pipeline with cryptographic non-escalation between learning, evidence, quorum, execution, and production authority?","app/kernel/integration/arda_appraisal.py; app/kernel/integration/arda_metatron_bridge.py; docs/metatron-arda-beast-integration-assessment.md; docs/beast-devsecops-arda-commons-master-plan.md",INTERNAL_INTEGRATION_PRESENT_FULL_EXTERNAL_COMPARISON_PENDING
