work,year,field,deterministic_reasoning,closed_world_evidence,signed_provenance,authority_bounds,cross_domain_composition,shared_text_visual_semantics,remote_attestation,heterogeneous_quorum,replayable_result,independent_operators,matches_full_claim,why_not_or_review_note,source_status
MYCIN,1970s,expert_systems,yes,partial,no,partial,limited,no,no,no,partial,no,no,Rule-based expert system; lacks signed provenance and attested heterogeneous quorum,needs_primary_source
OPS5/R1,1970s-1980s,production_rule_systems,yes,partial,no,partial,yes,no,no,no,yes,no,no,Deterministic rule execution and composition but not the full provenance/quorum architecture,needs_primary_source
Prolog,1972,logic_programming,yes,partial,no,no,yes,no,no,no,yes,no,no,Logic programming precedent; does not by itself provide signed evidence authority or remote quorum,needs_primary_source
Datalog,1970s,logic_programming,yes,yes,no,no,yes,no,no,no,yes,no,no,Closed-world deterministic inference precedent; lacks the remaining integrated properties,needs_primary_source
Answer Set Programming,1980s-1990s,nonmonotonic_reasoning,yes,yes,no,partial,yes,no,no,no,yes,no,no,Strong precedent for bounded deterministic reasoning and refusal/inconsistency handling,needs_primary_source
Truth Maintenance Systems,1979,reason_maintenance,yes,partial,no,no,yes,no,no,no,yes,no,no,Provenance/dependency precedent without signed artifact and attested quorum integration,needs_primary_source
Assumption-based Truth Maintenance,1980s,reason_maintenance,yes,partial,no,no,yes,no,no,no,yes,no,no,Dependency and contradiction management precedent; not the full claim,needs_primary_source
Theorem provers/LCF,1970s,formal_methods,yes,yes,partial,partial,yes,no,no,no,yes,no,no,Proof-producing deterministic reasoning is strong adjacent art; compare trusted kernel and authority model,needs_primary_source
Proof-Carrying Code,1996,formal_methods,yes,yes,yes,yes,limited,no,no,no,yes,no,no,Proof and policy-bound admission precedent; lacks DAI capability composition plus attested Commons quorum,needs_primary_source
Proof-Carrying Data,2000s,formal_methods,yes,yes,yes,partial,yes,no,no,no,yes,no,no,Very close provenance architecture; inspect exact distributed and expression properties,needs_primary_source
Provenance semirings,2007,database_provenance,yes,yes,partial,no,yes,no,no,no,yes,no,no,Formal why-provenance precedent; no integrated authority and heterogeneous attestation,needs_primary_source
Why-provenance/where-provenance,1990s-2000s,database_provenance,yes,yes,partial,no,yes,no,no,no,yes,no,no,Direct ancestry/provenance precedent; not full system claim,needs_primary_source
Content-addressed storage/Merkle DAGs,1980s-present,content_addressing,partial,yes,yes,partial,yes,no,no,partial,yes,partial,no,Byte lineage and replay precedent; does not supply deterministic intelligence semantics alone,needs_primary_source
Nix/Guix reproducible builds,2000s,reproducible_computation,yes,yes,yes,partial,yes,no,no,no,yes,partial,no,Very strong reproducibility precedent; no bounded semantic entailment/quorum combination,needs_primary_source
TUF,2010s,software_supply_chain,yes,yes,yes,yes,no,no,no,yes,yes,yes,no,Delegated authority and signed metadata precedent; not an intelligence/composition system,needs_primary_source
in-toto,2010s,software_supply_chain,yes,yes,yes,yes,yes,no,partial,partial,yes,yes,no,Supply-chain provenance and step attestations are highly relevant; compare exact semantic layer,needs_primary_source
Sigstore/Rekor,2020s,software_supply_chain,partial,yes,yes,yes,no,no,partial,partial,yes,yes,no,Identity/transparency anchor precedent; not full deterministic intelligence architecture,needs_primary_source
SLSA,2020s,software_supply_chain,partial,yes,yes,yes,no,no,partial,no,yes,yes,no,Build provenance framework; useful publication control but not full claim,needs_primary_source
Intel SGX remote attestation,2010s,confidential_computing,no,partial,yes,yes,no,no,yes,no,yes,partial,no,Remote hardware evidence precedent; not semantic composition or quorum by itself,needs_primary_source
AMD SEV-SNP attestation,2020s,confidential_computing,no,partial,yes,yes,no,no,yes,no,yes,partial,no,Hardware-rooted VM evidence precedent; not full claim,needs_primary_source
Azure Attestation,2020s,confidential_computing,no,partial,yes,yes,no,no,yes,partial,yes,partial,no,Managed attestation lane precedent; compare identity and raw-evidence preservation,needs_primary_source
PBFT,1999,distributed_consensus,yes,partial,yes,yes,no,no,no,yes,yes,yes,no,Byzantine quorum precedent; votes do not constitute DAI semantic composition,needs_primary_source
HotStuff,2019,distributed_consensus,yes,partial,yes,yes,no,no,no,yes,yes,yes,no,Modern BFT quorum precedent; not full claim,needs_primary_source
Federated Byzantine Agreement/Stellar,2015,distributed_consensus,yes,partial,yes,yes,no,no,no,yes,yes,yes,no,Federated trust/quorum precedent; compare operator and quorum policy semantics,needs_primary_source
Certificate Transparency,2013,transparency_logs,yes,yes,yes,partial,no,no,no,distributed,yes,yes,no,Public append-only evidence precedent; not full claim,needs_primary_source
Policy-as-code/OPA,2010s,authorization,yes,yes,partial,yes,yes,no,no,no,yes,partial,no,Deterministic policy and refusal precedent; lacks full provenance/expression/quorum integration,needs_primary_source
SecPAL/Binder/authorization logic,2000s,authorization_logic,yes,yes,yes,yes,yes,no,no,partial,yes,partial,possible_close_art,Must inspect carefully for signed assertions plus distributed trust; likely lacks shared expression and mixed truth arena,priority_review
Semantic Web rule systems,2000s,knowledge_representation,yes,partial,partial,partial,yes,partial,no,no,yes,partial,no,Cross-domain ontology/rule composition precedent; usually open-world and lacks attested quorum,needs_primary_source
