document_id,field,oracle_field_present,gemini_matches_oracle,human_matches_oracle,gemini_human_match
blurred_text_extraction_limitations,tables,False,False,False,False
blurred_text_extraction_limitations,merged_headers,False,False,False,False
blurred_text_extraction_limitations,footnotes,False,False,False,False
blurred_text_extraction_limitations,statistical_notation,False,False,False,False
blurred_text_extraction_limitations,chart_values,False,False,False,False
inference_economy_v0_9,tables,False,False,False,False
inference_economy_v0_9,merged_headers,False,False,False,False
inference_economy_v0_9,footnotes,False,False,False,False
inference_economy_v0_9,statistical_notation,False,False,False,False
inference_economy_v0_9,chart_values,False,False,False,False
inference_economy_paper,tables,False,False,False,False
inference_economy_paper,merged_headers,False,False,False,False
inference_economy_paper,footnotes,False,False,False,False
inference_economy_paper,statistical_notation,False,False,False,False
inference_economy_paper,chart_values,False,False,False,False
