organ_or_power,source_repository,implemented_or_documented_mechanism,authority_held,authority_explicitly_withheld,integration_evidence,maturity,nearest_prior_art_cluster,surviving_novelty_question,final_proof_required
Sophia pedagogical constitution,Integritas-Mechanicus and Sophia-AI,"Deterministic pedagogical-office routing; learner-level and scaffold calibration; Bloom Barrett Facione Feuerstein De Bono Costa Knowles Mezirow Torrance moves; assessment ecology; explicit authorship handback","Pedagogical diagnosis, scaffolding, criterion and reflective planning","Student authorship, factual truth without evidence, execution or production authority","arda_os/backend/services/sophia_pedagogy_orchestrator.py; Sophia-AI README",IMPLEMENTED_AND_TEST_EVIDENCE_PRESENT,AI tutoring and adaptive assessment,"Has pedagogical office routing and longitudinal assessment ever been made an authority-bounded organ inside a hardware-attested deterministic intelligence and cyber-governance stack?","Signed pedagogical-plan schema, mutation tests, independently authored learner cases, exact BEAST admission receipt"
Sophia academic writing and source office,Integritas-Mechanicus,"Writing Desk phases, source librarian and methodologist offices, annotations, project store, broad-domain writing support, response-proof matrices","Bounded writing coaching, source support and revision guidance","Covert authorship substitution, unsupported citations, unbounded academic claims","scripts/sophia_writing_desk_*; writing desk evidence",IMPLEMENTED_WITH_PHASE_EVIDENCE,Turnitin Clarity TrueMark Tutela writing assistants,"Has an authorship-preserving writing assistant been cryptographically joined to kernel trust, adversarial cyber world-state and deterministic capability promotion?","Independent writing cases, source-span provenance, exact response derivation, cross-repo convergence receipt"
Similarity and provenance guard,Integritas-Mechanicus,"Conservative exact-overlap, near-paraphrase, citation-needed, shared-terminology and common-phrase analysis with repair menu","Similarity-risk diagnosis and provenance repair recommendations","Plagiarism guilt, disciplinary conclusion, authorship attribution without evidence","arda_os/backend/services/sophia_similarity_guard.py; phase6 similarity evidence",IMPLEMENTED_AND_GAUNTLET_EVIDENCE_PRESENT,Turnitin Feedback Studio Process Feedback Artefakt plagiarism and authorship systems,"Has similarity-risk evidence been treated as one bounded proposition family in a deterministic attested multi-organ intelligence rather than a standalone integrity report?","False-positive and evasion corpus, external calibration, signed source spans, deterministic admission/ablation"
Continuity jurisdiction and lawful reentry,Sophia-AI and Integritas-Mechanicus,"Integrity boundary persists across turns; lawful assistance reopens after compliant reentry; continuity state becomes pedagogical jurisdiction","Carry forward bounded integrity state and lawful assistance conditions","Permanent punishment, hidden user profiling, silent authorship replacement","Sophia-AI README; continuity and ipsative evidence",EMERGING_WITH_INTERNAL_EVIDENCE,Conversational policy memory and education integrity workflows,"Has continuity of academic-integrity rulings been integrated with cryptographic sessions, deterministic guards and longitudinal pedagogy as an inspectable jurisdiction?","Cross-turn adversarial corpus, privacy policy, state-signature proof, independent human evaluation"
Arda silicon and boot trust,Integritas-Mechanicus,"TPM discovery, secure boot, PCR and event-log evidence, nonce-bound quote, boot/workload/configuration identity","Measured-state evidence collection","Semantic truth, pedagogical judgment, business intent or deployment approval","arda_os/boot_attestation.py; tpm_attestation_service.py; boot checkpoints",IMPLEMENTED_WITH_MULTIPLE_EVIDENCE_PATHS,RATS Keylime SPIRE confidential computing,"Is the attestation substrate uniquely integrated with educational authorship governance and deterministic semantic capability execution?","Clean-room hardware reproduction, raw quote/event-log preservation, reference-value policy, mutation suite"
Strict Arda appraisal,Integritas-Mechanicus,"Fail-closed issuer audience nonce evidence-mode key PCR workload config secure-boot freshness baseline signature quote event-log and replay checks; signed result","Short-lived policy-scoped attestation appraisal","Upstream intent, source approval, semantic correctness, execution by itself","arda_os/backend/services/arda_attestation_verifier.py",IMPLEMENTED_STRICT_VERIFIER,RATS EAR cloud attestation frameworks,"Does the cross-domain use of attestation as one organ in an academic-cyber-deterministic organism differ materially from general relying-party appraisal?","External verifier reproduction, revocation tests, separate attester/verifier deployment, policy identity anchors"
Arda kernel and covenant enforcement,Integritas-Mechanicus and Metatron,"BPF LSM, Valinor/Gurthang, covenant chains, cryptographic sessions, deterministic guards, recovery and formation identity","Kernel admission and constitutional enforcement under prior authority","Minting semantic or business authority, interpreting pedagogy, overriding upstream denial","kernel/valinor; bpf/arda_physical_lsm.c; backend/valinor/gurthang_lsm.c; covenant evidence",IMPLEMENTED_WITH_HARDENING_HISTORY,eBPF LSM IMA fs-verity object-capability and MAC systems,"Has a pedagogical and deterministic intelligence constitution ever been projected into kernel enforcement with preserved separation of powers?","Exact production mode evidence, fs-verity/content identity, map lifecycle receipts, hostile replacement tests"
Seraph AATL and cyber platform,Seraph-AI and Metatron,"Command velocity, inter-command timing, tool switching, intent accumulation, endpoint/network/mobile agents, threat registry, SOAR, sandbox, isolation, forensics and correlation","Threat observation, classification, containment recommendation and bounded response under policy","Semantic truth, academic guilt, cryptographic trust, self-granted high-impact action","Seraph README; Metatron backend and evidence bundles",BROAD_IMPLEMENTATION_WITH_MIXED_MATURITY,EDR XDR UEBA SOAR agent-security platforms,"Has a full agentic cyber-defense stack been made a constitutional organ whose evidence directly constrains deterministic semantic capability applicability?","Independent benchmark against named EDR/XDR baselines, sensor coverage/loss study, production hardening audit"
Harmonic and cadence governance,Metatron,"Scoped cadence windows; interval jitter drift burstiness entropy sequence tempo baselines; resonance discord confidence; governance guidance and veto","Temporal and behavioral coherence appraisal and obligations","Override of hard cryptographic evidence, automatic truth from resonance score","backend/services/harmonic_engine.py; ontology policy inference explainability baselines and gauntlets",IMPLEMENTED_WITH_TEST_AND_EVIDENCE_SURFACES,Time-series anomaly detection failure detectors behavioral biometrics,"Has timing harmony been elevated into an inspectable governance organ spanning cyber behavior, world state, capability trust and consequential dispatch?","Calibrated external corpus, ablation, false-positive analysis, signed baseline provenance, cross-organ case"
Governed deception immune system,Metatron,"Deception authority, modes, safety constraints, secret/path/schema blocks, harmonic shaping, independent corroboration, anti-feedback-loop guard, gauntlets and harvesting","Permit narrow deception under explicit mode and corroboration; issue vetoes","Unbounded disinformation, targeting trusted principals, real-secret exposure, self-corroborated escalation","backend/services/deception_authority.py; deception_policy.py; deception_effectiveness.py; gauntlet evidence",IMPLEMENTED_WITH_GAUNTLET_EVIDENCE,Deception platforms moving-target defense cyber ranges red-team systems,"Has deception been made a permanent promotion and continued-trust organ inside a deterministic semantic and attested execution architecture?","External threat corpus, independent safety review, causal promotion ablation, production isolation evidence"
